model,n_samples,accuracy,top2_accuracy,top3_accuracy,hand_detect_rate,avg_infer_ms
CustomCNN,3750,13.6,21.87,25.09,97.07,146.68
MobileNetV2,3750,84.35,88.93,90.48,97.07,54.95
